ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
15713.955,9405.585,21125.52,27073.575,25658.864999999998,27727.11,1323.36,11611.305
15715.08,9408.195,21125.204999999998,27072.539999999997,25657.92,27724.77,1320.12,11616.705
15696.72,9390.105,21108.285,27057.329999999998,25644.42,27712.934999999998,1298.97,11598.705
15690.824999999999,9384.255,21103.469999999998,27053.28,25643.475,27715.995,1315.98,11600.145
15691.23,9384.93,21103.425,27053.145,25645.41,27719.64,1335.4199999999998,11607.255
15688.935,9382.904999999999,21102.255,27051.704999999998,25642.98,27716.039999999997,1326.33,11603.115
15682.545,9377.64,21097.079999999998,27046.485,25637.039999999997,27709.2,1313.28,11594.925
15687.09,9380.25,21101.67,27053.46,25643.835,27715.454999999998,1306.98,11594.16
15685.425,9379.035,21100.364999999998,27051.03,25640.91,27711.36,1304.01,11590.244999999999
15688.035,9382.005,21106.079999999998,27057.78,25647.975,27717.614999999998,1305.945,11591.73
15687.675,9380.115,21104.82,27055.934999999998,25644.645,27714.555,1302.705,11589.795
15687.18,9376.425,21098.655,27047.385,25634.969999999998,27705.825,1298.97,11590.56
15685.38,9373.635,21094.92,27042.21,25630.155,27700.2,1296.27,11590.56
15686.64,9374.76,21095.594999999998,27042.075,25630.695,27700.695,1296.7649999999999,11591.279999999999
15685.83,9373.23,21094.02,27041.67,25630.155,27699.75,1294.965,11589.029999999999
15683.76,9372.24,21092.309999999998,27040.32,25629.93,27699.434999999998,1293.345,11587.77
15682.185,9372.06,21092.13,27040.004999999997,25630.335,27698.67,1290.78,11586.645
15680.519999999999,9369.945,21091.005,27038.34,25628.355,27696.105,1289.52,11583.855
15676.74,9366.66,21088.844999999998,27035.82,25625.879999999997,27692.46,1286.235,11579.58
15677.369999999999,9369.81,21090.78,27037.71,25627.274999999998,27693.135,1285.065,11579.4
15678.539999999999,9372.69,21094.11,27041.805,25630.785,27696.78,1284.6599999999999,11579.67
15676.154999999999,9369.855,21092.85,27043.515,25633.079999999998,27698.715,1281.195,11578.77
15673.68,9365.31,21089.925,27042.57,25633.485,27697.77,1279.44,11577.195
15667.92,9356.805,21081.195,27031.905,25622.28,27687.105,1276.7849999999999,11574.135
15666.66,9347.58,21065.085,27012.465,25603.829999999998,27670.41,1272.195,11574.404999999999
15677.595,9362.88,21076.785,27022.545,25612.739999999998,27679.23,1271.7,11578.365
15678.359999999999,9366.75,21083.265,27029.879999999997,25621.11,27687.329999999998,1275.075,11580.66
15674.13,9363.105,21081.51,27028.62,25622.01,27688.905,1277.055,11579.13
15672.869999999999,9364.32,21083.309999999998,27030.239999999998,25623.495,27690.164999999997,1280.655,11576.295
15670.845,9364.095,21082.68,27030.285,25623.315,27690.21,1282.095,11571.975
15675.345,9364.68,21081.645,27030.329999999998,25623.405,27689.489999999998,1281.465,11577.015
15673.185,9362.07,21080.024999999998,27028.079999999998,25620.704999999998,27684.809999999998,1274.76,11577.105
15670.349999999999,9360.72,21078.585,27026.864999999998,25618.995,27682.785,1272.645,11575.17
15670.394999999999,9360.99,21078.36,27026.46,25618.41,27683.01,1273.23,11573.64
15672.644999999999,9362.97,21079.844999999998,27027.18,25619.085,27683.73,1273.635,11575.574999999999
15670.935,9361.035,21077.73,27024.21,25617.78,27681.975,1271.8799999999999,11572.289999999999
15667.425,9358.83,21075.975,27022.635,25617.555,27681.48,1267.47,11567.52
15668.91,9360.494999999999,21076.875,27023.535,25618.815,27683.01,1267.6499999999999,11569.59
15667.56,9359.19,21075.434999999998,27022.68,25618.23,27682.379999999997,1265.94,11570.085
