ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7
-9774.855,-11285.414999999999,-21287.34,-5886.045,600.2099999999999,-27910.44,-11224.845,-4587.345
-9763.289999999999,-11253.645,-21244.32,-5843.385,613.5749999999999,-27774.945,-11152.305,-4591.08
-9759.555,-11235.645,-21217.05,-5783.13,645.66,-27787.68,-11146.41,-4592.295
-9733.095,-11219.67,-21189.78,-5778.045,627.03,-27942.93,-11182.365,-4563.72
-9737.595,-11265.074999999999,-21226.86,-5858.91,432.315,-27931.364999999998,-11159.595,-4552.695
-9760.68,-11309.31,-21338.73,-6127.065,98.91,-28063.44,-11187.765,-4577.3099999999995
-9786.779999999999,-11287.26,-21324.735,-6189.344999999999,140.22,-28068.84,-11184.93,-4604.04
-9804.105,-11326.68,-21404.969999999998,-6199.469999999999,286.245,-27939.239999999998,-11175.435,-4624.5599999999995
-9796.365,-11273.22,-21310.965,-5914.08,533.52,-27809.684999999998,-11180.295,-4641.615
-9831.24,-11324.295,-21299.265,-5875.83,402.885,-27769.86,-11170.845,-4664.205
-9800.01,-11344.725,-21354.3,-5937.12,429.435,-27848.024999999998,-11180.475,-4631.58
-9777.96,-11300.939999999999,-21276.315,-5889.69,623.8349999999999,-27831.329999999998,-11163.689999999999,-4598.91
-9724.32,-11202.345,-21169.755,-5826.87,493.91999999999996,-27990.27,-11111.895,-4536.63
-9707.175,-11186.01,-21163.635,-5858.1449999999995,230.89499999999998,-28062.719999999998,-11118.06,-4538.115
-9768.375,-11264.22,-21205.125,-5847.12,356.03999999999996,-27968.219999999998,-11129.805,-4615.38
-9765.359999999999,-11252.654999999999,-21179.565,-5739.255,763.56,-27848.34,-11125.619999999999,-4618.8
-9737.145,-11200.545,-21160.844999999998,-5689.3949999999995,864.135,-27768.555,-11076.029999999999,-4578.389999999999
-9751.05,-11209.455,-21197.295,-5807.835,748.845,-27766.305,-11064.33,-4611.465
-9805.23,-11222.82,-21209.895,-5880.375,621.765,-27780.84,-11057.31,-4707.36
-9813.869999999999,-11220.57,-21212.1,-5879.745,502.245,-27851.399999999998,-11076.57,-4741.83
-9737.055,-11194.064999999999,-21153.69,-5773.59,492.16499999999996,-27921.645,-11116.845,-4636.304999999999
-9667.17,-11220.84,-21176.415,-5754.69,519.885,-27939.239999999998,-11131.74,-4484.34
