Teilnehmer_ID,Alter,Geschlecht,Test_Order,Bedingung,TLX_Mental,TLX_Koerperlich,TLX_Zeitlich,TLX_Leistung,TLX_Anstrengung,TLX_Frustration,SUS_01_haeufig_nutzen,SUS_02_komplex,SUS_03_einfach,SUS_04_support,SUS_05_integriert,SUS_06_inkonsistent,SUS_07_schnell_lernen,SUS_08_umstaendlich,SUS_09_sicher,SUS_10_viele_dinge
P01,22,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),5,5,5,4,5,5,4,1,3,1,4,1,4,1,4,1
P01,22,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),3,2,2,6,2,2,5,1,5,1,5,1,4,1,5,2
P02,26,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),5,3,5,6,5,5,2,4,3,1,3,4,3,3,2,1
P02,26,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),4,2,2,7,3,4,3,4,3,1,3,4,2,4,3,3
P03,27,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),3,2,2,6,3,2,4,2,4,1,4,2,4,1,4,1
P03,27,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,2,2,7,2,1,5,1,4,2,4,1,3,2,5,2
P04,29,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),5,4,3,5,5,3,1,4,2,1,4,2,3,4,3,3
P04,29,Männlich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,1,2,3,2,3,3,3,2,1,2,3,4,3,4,3
P05,29,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),4,2,3,4,4,3,4,2,5,1,4,1,4,2,3,2
P05,29,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),4,4,2,3,5,4,4,2,4,2,4,2,4,3,3,3
P06,23,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),6,6,3,4,5,6,1,1,3,3,5,1,3,2,1,5
P06,23,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),7,5,7,5,5,6,3,2,4,2,5,3,4,2,1,3
P07,23,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),2,3,1,7,3,1,4,2,4,1,4,1,5,1,5,1
P07,23,Männlich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,3,1,6,3,1,5,1,5,1,5,1,5,1,5,1
P08,24,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Gestensteuerung (Gesture),6,5,3,6,5,5,2,3,3,1,4,3,4,2,3,3
P08,24,Weiblich,Gestensteuerung (Gesture) -> Sprachsteuerung (Voice) -> Kombinierte Steuerung (Voice + Gesture),Kombinierte Steuerung (Voice + Gesture),2,2,2,5,2,2,4,1,4,1,4,3,4,1,4,2
P09,25,Weiblich,Sprachsteuerung (Voice) -> Gestensteuerung (Gesture) -> Kombinierte Steuerung (Voice + Gesture),Sprachsteuerung (Voice),3,2,1,3,2,4,4,2,4,1,4,1,4,4,4,1
