Bedingung,TLX_Mental,TLX_Koerperlich,TLX_Zeitlich,TLX_Leistung,TLX_Anstrengung,TLX_Frustration,SUS_01_haeufig_nutzen,SUS_02_komplex,SUS_03_einfach,SUS_04_support,SUS_05_integriert,SUS_06_inkonsistent,SUS_07_schnell_lernen,SUS_08_umstaendlich,SUS_09_sicher,SUS_10_viele_dinge
Sprachsteuerung (Voice),5,5,5,4,5,5,4,1,3,1,4,1,4,1,4,1
Gestensteuerung (Gesture),5,3,5,6,5,5,2,4,3,1,3,4,3,3,2,1
Sprachsteuerung (Voice),3,2,2,6,3,2,4,2,4,1,4,2,4,1,4,1
Gestensteuerung (Gesture),5,4,3,5,5,3,1,4,2,1,4,2,3,4,3,3
Sprachsteuerung (Voice),4,2,3,4,4,3,4,2,5,1,4,1,4,2,3,2
Gestensteuerung (Gesture),6,6,3,4,5,6,1,1,3,3,5,1,3,2,1,5
Sprachsteuerung (Voice),2,3,1,7,3,1,4,2,4,1,4,1,5,1,5,1
Gestensteuerung (Gesture),6,5,3,6,5,5,2,3,3,1,4,3,4,2,3,3
Sprachsteuerung (Voice),3,2,1,3,2,4,4,2,4,1,4,1,4,4,4,1
Gestensteuerung (Gesture),5,5,2,3,4,5,3,2,4,2,4,1,4,1,3,1
Gestensteuerung (Gesture),5,1,6,6,2,3,3,1,4,1,4,2,3,2,5,2
Sprachsteuerung (Voice),4,4,3,3,4,2,3,2,2,2,3,2,3,3,3,3
Sprachsteuerung (Voice),2,1,2,6,2,3,4,3,4,1,3,1,3,2,5,1
Gestensteuerung (Gesture),4,5,3,4,3,1,6,2,5,1,5,2,3,1,4,1
Sprachsteuerung (Voice),3,1,3,5,2,2,4,1,5,3,4,2,2,1,4,2
Gestensteuerung (Gesture),6,5,4,5,6,4,2,3,2,4,3,2,2,3,2,4
Sprachsteuerung (Voice),3,1,3,5,2,3,5,1,4,1,4,2,4,1,5,2
Gestensteuerung (Gesture),1,2,4,6,6,1,5,2,5,1,5,1,5,1,5,1
Gestensteuerung (Gesture),1,1,1,6,1,1,4,1,5,1,5,1,4,1,4,1
Sprachsteuerung (Voice),2,1,2,5,2,3,2,1,4,1,4,2,5,2,2,1
Gestensteuerung (Gesture),4,2,1,1,4,4,2,1,4,2,4,1,5,2,4,2
Sprachsteuerung (Voice),2,1,1,7,1,1,5,1,5,1,5,1,5,1,5,1
Sprachsteuerung (Voice),2,2,2,6,3,3,3,1,4,1,4,1,3,2,4,1
