Bedingung,TLX_Mental,TLX_Koerperlich,TLX_Zeitlich,TLX_Leistung,TLX_Anstrengung,TLX_Frustration,SUS_01_haeufig_nutzen,SUS_02_komplex,SUS_03_einfach,SUS_04_support,SUS_05_integriert,SUS_06_inkonsistent,SUS_07_schnell_lernen,SUS_08_umstaendlich,SUS_09_sicher,SUS_10_viele_dinge
Kombinierte Steuerung (Voice + Gesture),3,2,2,6,2,2,5,1,5,1,5,1,4,1,5,2
Kombinierte Steuerung (Voice + Gesture),4,2,2,7,3,4,3,4,3,1,3,4,2,4,3,3
Kombinierte Steuerung (Voice + Gesture),2,2,2,7,2,1,5,1,4,2,4,1,3,2,5,2
Kombinierte Steuerung (Voice + Gesture),2,1,2,3,2,3,3,3,2,1,2,3,4,3,4,3
Kombinierte Steuerung (Voice + Gesture),4,4,2,3,5,4,4,2,4,2,4,2,4,3,3,3
Kombinierte Steuerung (Voice + Gesture),7,5,7,5,5,6,3,2,4,2,5,3,4,2,1,3
Kombinierte Steuerung (Voice + Gesture),2,3,1,6,3,1,5,1,5,1,5,1,5,1,5,1
Kombinierte Steuerung (Voice + Gesture),2,2,2,5,2,2,4,1,4,1,4,3,4,1,4,2
Kombinierte Steuerung (Voice + Gesture),2,1,2,5,2,3,5,1,4,1,4,3,4,2,4,1
Kombinierte Steuerung (Voice + Gesture),6,3,2,5,4,2,5,1,5,1,5,1,5,2,4,2
Kombinierte Steuerung (Voice + Gesture),4,1,3,6,5,1,5,1,4,1,4,1,4,1,5,1
Kombinierte Steuerung (Voice + Gesture),1,1,2,6,1,1,5,2,5,3,5,1,5,2,5,1
Kombinierte Steuerung (Voice + Gesture),2,2,2,5,2,2,4,4,5,1,4,4,3,4,3,2
Kombinierte Steuerung (Voice + Gesture),3,3,2,6,4,1,5,1,5,2,4,3,2,1,5,3
Kombinierte Steuerung (Voice + Gesture),3,2,2,5,3,2,4,2,4,3,4,2,3,3,4,3
Kombinierte Steuerung (Voice + Gesture),3,3,2,6,3,2,5,2,5,3,4,1,3,2,5,4
Kombinierte Steuerung (Voice + Gesture),4,4,2,5,4,2,4,2,5,3,5,2,2,2,5,3
Kombinierte Steuerung (Voice + Gesture),2,3,3,7,3,2,5,1,5,1,5,1,5,3,5,1
Kombinierte Steuerung (Voice + Gesture),2,1,2,4,2,2,4,2,4,1,4,2,4,1,2,1
Kombinierte Steuerung (Voice + Gesture),3,3,2,3,2,3,1,4,2,1,2,3,4,4,2,1
Kombinierte Steuerung (Voice + Gesture),2,1,1,4,2,2,4,1,5,1,5,1,5,1,5,2
Kombinierte Steuerung (Voice + Gesture),3,1,1,7,1,1,4,1,5,1,5,1,4,1,5,1
Kombinierte Steuerung (Voice + Gesture),2,3,5,3,4,3,3,2,2,2,4,2,2,4,2,2
